panel	gene	ref_id	source	assembly_accession	nuccore_accession	protein_accession	locus_tag	organism	product	location	evidence	length_nt	length_aa	multiple_of_3
citrobacter	acrD	acrD|WP_003838507.1|NZ_LR890181.1|JMV71_RS06555	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_003838507.1	JMV71_RS06555	Citrobacter freundii MSB1_1H	multidrug efflux RND transporter permease AcrD	complement(1389786..1392899)	refseq_gene_name	3114	1037	True
citrobacter	acrD	acrD|WP_069324476.1|NZ_CP101080.1|NMD07_RS07325	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_069324476.1	NMD07_RS07325	Citrobacter cronae	multidrug efflux RND transporter permease AcrD	complement(1531492..1534605)	species representative; ortholog by 98.6% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	3114	1037	True
citrobacter	acrD	acrD|WP_012131312.1|NC_009792.1|CKO_RS01440	ncbi_refseq_auto	GCF_000018045.1	NC_009792.1	WP_012131312.1	CKO_RS01440	Citrobacter koseri	multidrug efflux RND transporter permease AcrD	complement(309874..312987)	species representative; ortholog by 95.6% identity to the panel allele; modal in 2/4 screened Citrobacter koseri genomes	3114	1037	True
citrobacter	acrD	acrD|WP_286635966.1|NZ_CP101060.1|NMD21_RS06865	ncbi_refseq_auto	GCF_041319845.1	NZ_CP101060.1	WP_286635966.1	NMD21_RS06865	Citrobacter portucalensis	multidrug efflux RND transporter permease AcrD	complement(1471777..1474890)	species representative; ortholog by 99.4% identity to the panel allele; modal in 1/3 screened Citrobacter portucalensis genomes	3114	1037	True
citrobacter	acrD	acrD|WP_042290900.1|NZ_BBNB01000012.1|CSE01S_RS17005	ncbi_refseq_auto	GCF_000759835.1	NZ_BBNB01000012.1	WP_042290900.1	CSE01S_RS17005	Citrobacter sedlakii	multidrug efflux RND transporter permease AcrD	252596..255709	species representative; ortholog by 94.9% identity to the panel allele; modal in 1/1 screened Citrobacter sedlakii genomes	3114	1037	True
citrobacter	acrR	acrR|WP_003021744.1|NZ_LR890181.1|JMV71_RS17790	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_003021744.1	JMV71_RS17790	Citrobacter freundii MSB1_1H	multidrug efflux transporter transcriptional repressor AcrR	complement(3649788..3650438)	refseq_gene_name	651	216	True
citrobacter	acrR	acrR|WP_069323969.1|NZ_CP101080.1|NMD07_RS18440	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_069323969.1	NMD07_RS18440	Citrobacter cronae	multidrug efflux transporter transcriptional repressor AcrR	complement(3820966..3821616)	species representative; ortholog by 90.2% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	651	216	True
citrobacter	acrR	acrR|WP_058668709.1|NZ_CP022073.1|CEP66_RS01290	ncbi_refseq_auto	GCF_002208985.1	NZ_CP022073.1	WP_058668709.1	CEP66_RS01290	Citrobacter koseri	multidrug efflux transporter transcriptional repressor AcrR	complement(267720..268373)	species representative; ortholog by 83.4% identity to the panel allele; modal in 3/4 screened Citrobacter koseri genomes	654	217	True
citrobacter	acrR	acrR|WP_079938358.1|NZ_CP099373.1|NFK58_RS18730	ncbi_refseq_auto	GCF_029719225.1	NZ_CP099373.1	WP_079938358.1	NFK58_RS18730	Citrobacter portucalensis	multidrug efflux transporter transcriptional repressor AcrR	complement(3885267..3885917)	species representative; ortholog by 90.2% identity to the panel allele; modal in 2/3 screened Citrobacter portucalensis genomes	651	216	True
citrobacter	acrR	acrR|WP_042285832.1|NZ_BBNB01000002.1|CSE01S_RS06470	ncbi_refseq_auto	GCF_000759835.1	NZ_BBNB01000002.1	WP_042285832.1	CSE01S_RS06470	Citrobacter sedlakii	multidrug efflux transporter transcriptional repressor AcrR	complement(444615..445268)	species representative; ortholog by 83.3% identity to the panel allele; modal in 1/1 screened Citrobacter sedlakii genomes	654	217	True
citrobacter	ampC	ampC|WP_044699195.1|NZ_LR890181.1|JMV71_RS21330	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_044699195.1	JMV71_RS21330	Citrobacter freundii MSB1_1H	class C beta-lactamase CMY-48	4415715..4416860	refseq_product=class C beta-lactamase CMY-48	1146	381	True
citrobacter	ampD	ampD|WP_128295721.1|NZ_LR890181.1|JMV71_RS19670	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_128295721.1	JMV71_RS19670	Citrobacter freundii MSB1_1H	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	complement(4055364..4055927)	refseq_gene_name	564	187	True
citrobacter	ampD	ampD|WP_038637254.1|NZ_CP101080.1|NMD07_RS20775	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_038637254.1	NMD07_RS20775	Citrobacter cronae	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	complement(4314694..4315257)	species representative; ortholog by 95.7% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	564	187	True
citrobacter	ampD	ampD|WP_012134055.1|NC_009792.1|CKO_RS13960	ncbi_refseq_auto	GCF_000018045.1	NC_009792.1	WP_012134055.1	CKO_RS13960	Citrobacter koseri	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	complement(3035025..3035588)	species representative; ortholog by 91.4% identity to the panel allele; modal in 3/4 screened Citrobacter koseri genomes	564	187	True
citrobacter	ampD	ampD|WP_008786207.1|NZ_CP089437.1|LT980_RS20200	ncbi_refseq_auto	GCF_023650815.1	NZ_CP089437.1	WP_008786207.1	LT980_RS20200	Citrobacter portucalensis	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	complement(4150494..4151057)	species representative; ortholog by 98.9% identity to the panel allele; modal in 3/3 screened Citrobacter portucalensis genomes	564	187	True
citrobacter	ampD	ampD|WP_042290014.1|NZ_BBNB01000010.1|CSE01S_RS14815	ncbi_refseq_auto	GCF_000759835.1	NZ_BBNB01000010.1	WP_042290014.1	CSE01S_RS14815	Citrobacter sedlakii	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	complement(106427..106990)	species representative; ortholog by 89.3% identity to the panel allele; modal in 1/1 screened Citrobacter sedlakii genomes	564	187	True
citrobacter	ampG	ampG|WP_016149701.1|NZ_LR890181.1|JMV71_RS17980	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_016149701.1	JMV71_RS17980	Citrobacter freundii MSB1_1H	muropeptide MFS transporter AmpG	3687381..3688856	refseq_gene_name	1476	491	True
citrobacter	ampG	ampG|WP_085047637.1|NZ_CP101080.1|NMD07_RS18630	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_085047637.1	NMD07_RS18630	Citrobacter cronae	muropeptide MFS transporter AmpG	3858317..3859792	species representative; ortholog by 96.3% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	1476	491	True
citrobacter	ampG	ampG|WP_049008406.1|NZ_CP022073.1|CEP66_RS01515	ncbi_refseq_auto	GCF_002208985.1	NZ_CP022073.1	WP_049008406.1	CEP66_RS01515	Citrobacter koseri	muropeptide MFS transporter AmpG	309017..310492	species representative; ortholog by 92.1% identity to the panel allele; modal in 2/4 screened Citrobacter koseri genomes	1476	491	True
citrobacter	ampG	ampG|WP_370613966.1|NZ_CP101060.1|NMD21_RS18955	ncbi_refseq_auto	GCF_041319845.1	NZ_CP101060.1	WP_370613966.1	NMD21_RS18955	Citrobacter portucalensis	muropeptide MFS transporter AmpG	3918050..3919525	species representative; ortholog by 98.8% identity to the panel allele; modal in 1/3 screened Citrobacter portucalensis genomes	1476	491	True
citrobacter	ampG	ampG|WP_042285921.1|NZ_BBNB01000002.1|CSE01S_RS06655	ncbi_refseq_auto	GCF_000759835.1	NZ_BBNB01000002.1	WP_042285921.1	CSE01S_RS06655	Citrobacter sedlakii	muropeptide MFS transporter AmpG	481901..483376	species representative; ortholog by 90.0% identity to the panel allele; modal in 1/1 screened Citrobacter sedlakii genomes	1476	491	True
citrobacter	ampR	ampR|WP_106902713.1|NZ_LR890181.1|JMV71_RS21325	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_106902713.1	JMV71_RS21325	Citrobacter freundii MSB1_1H	LysR family transcriptional regulator AmpR	complement(4414708..4415583)	refseq_gene_name	876	291	True
citrobacter	ampR	ampR|WP_069324727.1|NZ_CP101080.1|NMD07_RS22695	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_069324727.1	NMD07_RS22695	Citrobacter cronae	LysR family transcriptional regulator AmpR	complement(4728721..4729596)	species representative; ortholog by 94.5% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	876	291	True
citrobacter	ampR	ampR|WP_079939034.1|NZ_CP101060.1|NMD21_RS22780	ncbi_refseq_auto	GCF_041319845.1	NZ_CP101060.1	WP_079939034.1	NMD21_RS22780	Citrobacter portucalensis	LysR family transcriptional regulator AmpR	complement(4734315..4735190)	species representative; ortholog by 98.3% identity to the panel allele; modal in 1/3 screened Citrobacter portucalensis genomes	876	291	True
citrobacter	arnA	arnA|WP_048217311.1|NZ_LR890181.1|JMV71_RS08090	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_048217311.1	JMV71_RS08090	Citrobacter freundii MSB1_1H	bifunctional UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronic acid oxidase ArnA	complement(1653533..1655515)	refseq_gene_name	1983	660	True
citrobacter	arnA	arnA|WP_085047827.1|NZ_CP101080.1|NMD07_RS08455	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_085047827.1	NMD07_RS08455	Citrobacter cronae	bifunctional UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronic acid oxidase ArnA	complement(1779925..1781907)	species representative; ortholog by 97.4% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	1983	660	True
citrobacter	arnA	arnA|WP_370615794.1|NZ_CP101060.1|NMD21_RS07880	ncbi_refseq_auto	GCF_041319845.1	NZ_CP101060.1	WP_370615794.1	NMD21_RS07880	Citrobacter portucalensis	bifunctional UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronic acid oxidase ArnA	complement(1676728..1678710)	species representative; ortholog by 98.0% identity to the panel allele; modal in 1/3 screened Citrobacter portucalensis genomes	1983	660	True
citrobacter	arnB	arnB|WP_003027645.1|NZ_LR890181.1|JMV71_RS08100	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_003027645.1	JMV71_RS08100	Citrobacter freundii MSB1_1H	UDP-4-amino-4-deoxy-L-arabinose aminotransferase	complement(1656498..1657637)	refseq_gene_name	1140	379	True
citrobacter	arnB	arnB|WP_085047829.1|NZ_CP101080.1|NMD07_RS08465	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_085047829.1	NMD07_RS08465	Citrobacter cronae	UDP-4-amino-4-deoxy-L-arabinose aminotransferase	complement(1782890..1784029)	species representative; ortholog by 95.0% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	1140	379	True
citrobacter	arnB	arnB|WP_370615796.1|NZ_CP101060.1|NMD21_RS07890	ncbi_refseq_auto	GCF_041319845.1	NZ_CP101060.1	WP_370615796.1	NMD21_RS07890	Citrobacter portucalensis	UDP-4-amino-4-deoxy-L-arabinose aminotransferase	complement(1679693..1680832)	species representative; ortholog by 98.2% identity to the panel allele; modal in 1/3 screened Citrobacter portucalensis genomes	1140	379	True
citrobacter	arnC	arnC|WP_003027648.1|NZ_LR890181.1|JMV71_RS08095	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_003027648.1	JMV71_RS08095	Citrobacter freundii MSB1_1H	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	complement(1655512..1656495)	refseq_gene_name	984	327	True
citrobacter	arnC	arnC|WP_085047828.1|NZ_CP101080.1|NMD07_RS08460	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_085047828.1	NMD07_RS08460	Citrobacter cronae	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	complement(1781904..1782887)	species representative; ortholog by 98.2% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	984	327	True
citrobacter	arnC	arnC|WP_042307134.1|NZ_CP089437.1|LT980_RS08045	ncbi_refseq_auto	GCF_023650815.1	NZ_CP089437.1	WP_042307134.1	LT980_RS08045	Citrobacter portucalensis	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	complement(1669519..1670502)	species representative; ortholog by 99.1% identity to the panel allele; modal in 2/3 screened Citrobacter portucalensis genomes	984	327	True
citrobacter	arnD	arnD|WP_003027653.1|NZ_LR890181.1|JMV71_RS08085	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_003027653.1	JMV71_RS08085	Citrobacter freundii MSB1_1H	4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase	complement(1652634..1653536)	refseq_gene_name	903	300	True
citrobacter	arnD	arnD|WP_085047826.1|NZ_CP101080.1|NMD07_RS08450	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_085047826.1	NMD07_RS08450	Citrobacter cronae	4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase	complement(1779026..1779928)	species representative; ortholog by 95.3% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	903	300	True
citrobacter	arnD	arnD|WP_123267606.1|NZ_CP099373.1|NFK58_RS08415	ncbi_refseq_auto	GCF_029719225.1	NZ_CP099373.1	WP_123267606.1	NFK58_RS08415	Citrobacter portucalensis	4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase	complement(1775087..1775989)	species representative; ortholog by 97.3% identity to the panel allele; modal in 2/3 screened Citrobacter portucalensis genomes	903	300	True
citrobacter	arnE	arnE|WP_003027661.1|NZ_LR890181.1|JMV71_RS08075	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_003027661.1	JMV71_RS08075	Citrobacter freundii MSB1_1H	4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE	complement(1650647..1650982)	refseq_gene_name	336	111	True
citrobacter	arnE	arnE|WP_085047824.1|NZ_CP101080.1|NMD07_RS08440	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_085047824.1	NMD07_RS08440	Citrobacter cronae	4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE	complement(1777042..1777377)	species representative; ortholog by 95.4% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	336	111	True
citrobacter	arnE	arnE|WP_003834709.1|NZ_CP089437.1|LT980_RS08025	ncbi_refseq_auto	GCF_023650815.1	NZ_CP089437.1	WP_003834709.1	LT980_RS08025	Citrobacter portucalensis	4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE	complement(1664654..1664989)	species representative; ortholog by 98.2% identity to the panel allele; modal in 3/3 screened Citrobacter portucalensis genomes	336	111	True
citrobacter	arnF	arnF|WP_032936583.1|NZ_LR890181.1|JMV71_RS08070	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_032936583.1	JMV71_RS08070	Citrobacter freundii MSB1_1H	4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF	complement(1650261..1650647)	refseq_gene_name	387	128	True
citrobacter	arnF	arnF|WP_085047823.1|NZ_CP101080.1|NMD07_RS08435	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_085047823.1	NMD07_RS08435	Citrobacter cronae	4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF	complement(1776656..1777042)	species representative; ortholog by 89.8% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	387	128	True
citrobacter	arnF	arnF|WP_079937700.1|NZ_CP099373.1|NFK58_RS08400	ncbi_refseq_auto	GCF_029719225.1	NZ_CP099373.1	WP_079937700.1	NFK58_RS08400	Citrobacter portucalensis	4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF	complement(1772714..1773100)	species representative; ortholog by 93.0% identity to the panel allele; modal in 2/3 screened Citrobacter portucalensis genomes	387	128	True
citrobacter	arnT	arnT|WP_119174436.1|NZ_LR890181.1|JMV71_RS08080	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_119174436.1	JMV71_RS08080	Citrobacter freundii MSB1_1H	lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase	complement(1650979..1652637)	refseq_gene_name	1659	552	True
citrobacter	arnT	arnT|WP_085047825.1|NZ_CP101080.1|NMD07_RS08445	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_085047825.1	NMD07_RS08445	Citrobacter cronae	lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase	complement(1777374..1779029)	species representative; ortholog by 94.1% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	1656	551	True
citrobacter	arnT	arnT|WP_286636990.1|NZ_CP101060.1|NMD21_RS07870	ncbi_refseq_auto	GCF_041319845.1	NZ_CP101060.1	WP_286636990.1	NMD21_RS07870	Citrobacter portucalensis	lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase	complement(1674174..1675832)	species representative; ortholog by 95.5% identity to the panel allele; modal in 1/3 screened Citrobacter portucalensis genomes	1659	552	True
citrobacter	dacB	dacB|WP_003839958.1|NZ_LR890181.1|JMV71_RS02570	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_003839958.1	JMV71_RS02570	Citrobacter freundii MSB1_1H	serine-type D-Ala-D-Ala carboxypeptidase	complement(519878..521311)	refseq_gene_name	1434	477	True
citrobacter	dacB	dacB|WP_085048645.1|NZ_CP101080.1|NMD07_RS02890	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_085048645.1	NMD07_RS02890	Citrobacter cronae	serine-type D-Ala-D-Ala carboxypeptidase	complement(585793..587226)	species representative; ortholog by 97.9% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	1434	477	True
citrobacter	dacB	dacB|WP_012135313.1|NC_009792.1|CKO_RS19535	ncbi_refseq_auto	GCF_000018045.1	NC_009792.1	WP_012135313.1	CKO_RS19535	Citrobacter koseri	serine-type D-Ala-D-Ala carboxypeptidase	4232344..4233777	species representative; ortholog by 95.2% identity to the panel allele; modal in 2/4 screened Citrobacter koseri genomes	1434	477	True
citrobacter	dacB	dacB|WP_218667146.1|NZ_CP101060.1|NMD21_RS02770	ncbi_refseq_auto	GCF_041319845.1	NZ_CP101060.1	WP_218667146.1	NMD21_RS02770	Citrobacter portucalensis	serine-type D-Ala-D-Ala carboxypeptidase	complement(559299..560732)	species representative; ortholog by 99.4% identity to the panel allele; modal in 1/3 screened Citrobacter portucalensis genomes	1434	477	True
citrobacter	dacB	dacB|WP_042291861.1|NZ_BBNB01000015.1|CSE01S_RS19040	ncbi_refseq_auto	GCF_000759835.1	NZ_BBNB01000015.1	WP_042291861.1	CSE01S_RS19040	Citrobacter sedlakii	serine-type D-Ala-D-Ala carboxypeptidase	52032..53465	species representative; ortholog by 95.0% identity to the panel allele; modal in 1/1 screened Citrobacter sedlakii genomes	1434	477	True
citrobacter	emrA	emrA|WP_003037303.1|NZ_LR890181.1|JMV71_RS05265	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_003037303.1	JMV71_RS05265	Citrobacter freundii MSB1_1H	multidrug efflux MFS transporter periplasmic adaptor subunit EmrA	complement(1082065..1083237)	refseq_gene_name	1173	390	True
citrobacter	emrA	emrA|WP_085048879.1|NZ_CP101080.1|NMD07_RS05915	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_085048879.1	NMD07_RS05915	Citrobacter cronae	multidrug efflux MFS transporter periplasmic adaptor subunit EmrA	complement(1234393..1235565)	species representative; ortholog by 97.9% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	1173	390	True
citrobacter	emrA	emrA|WP_024130884.1|NC_009792.1|CKO_RS17250	ncbi_refseq_auto	GCF_000018045.1	NC_009792.1	WP_024130884.1	CKO_RS17250	Citrobacter koseri	multidrug efflux MFS transporter periplasmic adaptor subunit EmrA	3753960..3755132	species representative; ortholog by 95.9% identity to the panel allele; modal in 3/4 screened Citrobacter koseri genomes	1173	390	True
citrobacter	emrA	emrA|WP_286636848.1|NZ_CP101060.1|NMD21_RS05595	ncbi_refseq_auto	GCF_041319845.1	NZ_CP101060.1	WP_286636848.1	NMD21_RS05595	Citrobacter portucalensis	multidrug efflux MFS transporter periplasmic adaptor subunit EmrA	complement(1176757..1177929)	species representative; ortholog by 98.2% identity to the panel allele; modal in 1/3 screened Citrobacter portucalensis genomes	1173	390	True
citrobacter	emrA	emrA|WP_042289046.1|NZ_BBNB01000008.1|CSE01S_RS11850	ncbi_refseq_auto	GCF_000759835.1	NZ_BBNB01000008.1	WP_042289046.1	CSE01S_RS11850	Citrobacter sedlakii	multidrug efflux MFS transporter periplasmic adaptor subunit EmrA	137957..139129	species representative; ortholog by 94.1% identity to the panel allele; modal in 1/1 screened Citrobacter sedlakii genomes	1173	390	True
citrobacter	emrB	emrB|WP_003037306.1|NZ_LR890181.1|JMV71_RS05260	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_003037306.1	JMV71_RS05260	Citrobacter freundii MSB1_1H	multidrug efflux MFS transporter permease subunit EmrB	complement(1080510..1082048)	refseq_gene_name	1539	512	True
citrobacter	emrB	emrB|WP_069324580.1|NZ_CP101080.1|NMD07_RS05910	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_069324580.1	NMD07_RS05910	Citrobacter cronae	multidrug efflux MFS transporter permease subunit EmrB	complement(1232838..1234376)	species representative; ortholog by 97.9% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	1539	512	True
citrobacter	emrB	emrB|WP_012134799.1|NC_009792.1|CKO_RS17255	ncbi_refseq_auto	GCF_000018045.1	NC_009792.1	WP_012134799.1	CKO_RS17255	Citrobacter koseri	multidrug efflux MFS transporter permease subunit EmrB	3755149..3756687	species representative; ortholog by 96.1% identity to the panel allele; modal in 4/4 screened Citrobacter koseri genomes	1539	512	True
citrobacter	emrB	emrB|WP_003825966.1|NZ_CP099373.1|NFK58_RS05995	ncbi_refseq_auto	GCF_029719225.1	NZ_CP099373.1	WP_003825966.1	NFK58_RS05995	Citrobacter portucalensis	multidrug efflux MFS transporter permease subunit EmrB	complement(1239069..1240607)	species representative; ortholog by 99.6% identity to the panel allele; modal in 2/3 screened Citrobacter portucalensis genomes	1539	512	True
citrobacter	emrB	emrB|WP_042288532.1|NZ_BBNB01000008.1|CSE01S_RS11855	ncbi_refseq_auto	GCF_000759835.1	NZ_BBNB01000008.1	WP_042288532.1	CSE01S_RS11855	Citrobacter sedlakii	multidrug efflux MFS transporter permease subunit EmrB	139146..140684	species representative; ortholog by 96.1% identity to the panel allele; modal in 1/1 screened Citrobacter sedlakii genomes	1539	512	True
citrobacter	emrR	emrR|WP_003037300.1|NZ_LR890181.1|JMV71_RS05270	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_003037300.1	JMV71_RS05270	Citrobacter freundii MSB1_1H	multidrug efflux transporter EmrAB transcriptional repressor EmrR	complement(1083368..1083898)	refseq_gene_name	531	176	True
citrobacter	emrR	emrR|WP_042313109.1|NZ_CP101080.1|NMD07_RS05920	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_042313109.1	NMD07_RS05920	Citrobacter cronae	multidrug efflux transporter EmrAB transcriptional repressor EmrR	complement(1235693..1236223)	species representative; ortholog by 99.4% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	531	176	True
